,Class,Age,Sex,Survived
562,second,adult,female,yes
1916,crew,adult,male,no
1604,crew,adult,male,no
1898,crew,adult,male,no
1161,third,adult,female,no
279,first,adult,female,yes
1517,crew,adult,male,no
971,third,adult,male,no
1026,third,adult,male,no
310,first,adult,female,yes
1021,third,adult,male,no
187,first,adult,female,yes
1600,crew,adult,male,no
124,first,adult,male,no
474,second,adult,male,no
1624,crew,adult,male,no
985,third,adult,male,no
689,third,adult,male,no
1733,crew,adult,male,no
1003,third,adult,male,no
1580,crew,adult,male,no
405,second,adult,male,no
487,second,adult,male,no
1464,crew,adult,male,yes
597,second,child,female,yes
661,third,adult,male,yes
1524,crew,adult,male,no
587,second,child,male,yes
1508,crew,adult,male,no
610,third,adult,male,yes
1760,crew,adult,male,no
687,third,adult,male,no
1000,third,adult,male,no
1386,crew,adult,male,yes
1696,crew,adult,male,no
1264,third,child,male,no
1643,crew,adult,male,no
2034,crew,adult,male,no
144,first,adult,male,no
817,third,adult,male,no
1310,third,child,female,no
1205,third,adult,female,no
260,first,adult,female,yes
294,first,adult,female,yes
1210,third,adult,female,no
320,first,child,male,yes
1025,third,adult,male,no
1568,crew,adult,male,no
906,third,adult,male,no
2092,crew,adult,male,no
425,second,adult,male,no
721,third,adult,male,no
1226,third,adult,female,no
1076,third,adult,female,yes
1812,crew,adult,male,no
1432,crew,adult,male,yes
10,first,adult,male,yes
2127,crew,adult,male,no
1363,crew,adult,male,yes
2106,crew,adult,male,no
1971,crew,adult,male,no
202,first,adult,female,yes
1623,crew,adult,male,no
748,third,adult,male,no
1818,crew,adult,male,no
1122,third,adult,female,yes
847,third,adult,male,no
458,second,adult,male,no
1960,crew,adult,male,no
465,second,adult,male,no
1379,crew,adult,male,yes
743,third,adult,male,no
1788,crew,adult,male,no
1533,crew,adult,male,no
139,first,adult,male,no
34,first,adult,male,yes
2075,crew,adult,male,no
376,second,adult,male,no
1330,crew,adult,male,yes
634,third,adult,male,yes
1702,crew,adult,male,no
1712,crew,adult,male,no
676,third,adult,male,yes
2150,crew,adult,male,no
506,second,adult,female,yes
1489,crew,adult,male,yes
1572,crew,adult,male,no
1947,crew,adult,male,no
805,third,adult,male,no
61,first,adult,male,no
638,third,adult,male,yes
1931,crew,adult,male,no
994,third,adult,male,no
227,first,adult,female,yes
1527,crew,adult,male,no
958,third,adult,male,no
526,second,adult,female,yes
92,first,adult,male,no
2000,crew,adult,male,no
1017,third,adult,male,no
981,third,adult,male,no
1317,crew,adult,male,yes
1056,third,adult,male,no
2119,crew,adult,male,no
2081,crew,adult,male,no
2001,crew,adult,male,no
1058,third,adult,male,no
731,third,adult,male,no
654,third,adult,male,yes
792,third,adult,male,no
1957,crew,adult,male,no
1764,crew,adult,male,no
1116,third,adult,female,yes
267,first,adult,female,yes
1069,third,adult,male,no
223,first,adult,female,yes
1813,crew,adult,male,no
1754,crew,adult,male,no
1983,crew,adult,male,no
1421,crew,adult,male,yes
1774,crew,adult,male,no
1407,crew,adult,male,yes
1766,crew,adult,male,no
1510,crew,adult,male,no
861,third,adult,male,no
776,third,adult,male,no
152,first,adult,male,no
427,second,adult,male,no
1801,crew,adult,male,no
1861,crew,adult,male,no
979,third,adult,male,no
1799,crew,adult,male,no
965,third,adult,male,no
55,first,adult,male,yes
1944,crew,adult,male,no
1235,third,adult,female,no
511,second,adult,female,yes
1999,crew,adult,male,no
522,second,adult,female,yes
311,first,adult,female,yes
1196,third,adult,female,no
1762,crew,adult,male,no
2132,crew,adult,male,no
538,second,adult,female,yes
1078,third,adult,female,yes
1420,crew,adult,male,yes
217,first,adult,female,yes
984,third,adult,male,no
335,second,adult,male,yes
551,second,adult,female,yes
1259,third,child,male,no
1171,third,adult,female,no
1440,crew,adult,male,yes
66,first,adult,male,no
1710,crew,adult,male,no
1815,crew,adult,male,no
1322,crew,adult,male,yes
140,first,adult,male,no
2099,crew,adult,male,no
5,first,adult,male,yes
58,first,adult,male,no
1876,crew,adult,male,no
583,second,adult,female,no
1955,crew,adult,male,no
2166,crew,adult,male,no
2020,crew,adult,male,no
1507,crew,adult,male,yes
2196,crew,adult,female,yes
616,third,adult,male,yes
1576,crew,adult,male,no
983,third,adult,male,no
278,first,adult,female,yes
1459,crew,adult,male,yes
185,first,adult,female,yes
944,third,adult,male,no
1637,crew,adult,male,no
1454,crew,adult,male,yes
19,first,adult,male,yes
2194,crew,adult,female,yes
684,third,adult,male,yes
1746,crew,adult,male,no
54,first,adult,male,yes
1990,crew,adult,male,no
505,second,adult,female,yes
1081,third,adult,female,yes
64,first,adult,male,no
1359,crew,adult,male,yes
1518,crew,adult,male,no
1705,crew,adult,male,no
