,Produit,NumTicket
0,wheat,3
1,yeast,3
2,almond,3
3,honey,3
4,oat,3
5,date,3
6,vegetable_oil,3
7,butter,4
8,lovage,4
9,clam,4
10,wheat,4
11,onion,4
12,thyme,4
13,potato,4
14,cane_molasses,5
15,butter,5
16,wheat,5
17,raisin,5
18,ginger,5
19,lard,5
20,egg,5
21,lemon_juice,9
22,onion,9
23,soy_sauce,9
24,black_pepper,9
25,ginger,9
26,white_wine,9
27,garlic,9
28,butter,11
29,olive_oil,11
30,pepper,11
31,rice,11
32,mushroom,11
33,onion,11
34,chicken_broth,11
35,tomato,12
36,onion,12
37,black_pepper,12
38,garlic,12
39,mozzarella_cheese,12
40,tuna,12
41,rice,12
42,butter,14
43,pepper,14
44,lemon,14
45,beef,14
46,fish,14
47,parsley,14
48,white_wine,14
49,butter,15
50,cane_molasses,15
51,wheat,15
52,vanilla,15
53,cocoa,15
54,egg,15
55,milk,15
56,tomato,17
57,olive_oil,17
58,pork,17
59,green_bell_pepper,17
60,onion,17
61,mushroom,17
62,thyme,17
63,cane_molasses,18
64,wheat,18
65,yeast,18
66,raisin,18
67,oat,18
68,cinnamon,18
69,lard,18
70,tomato,19
71,olive_oil,19
72,mushroom,19
73,black_pepper,19
74,garlic,19
75,oregano,19
76,basil,19
77,butter,20
78,coffee,20
79,wheat,20
80,vanilla,20
81,cocoa,20
82,egg,20
83,banana,20
84,butter,22
85,onion,22
86,potato,22
87,chicken_broth,22
88,black_pepper,22
89,squash,22
90,celery,22
91,onion,23
92,mushroom,23
93,egg_noodle,23
94,black_pepper,23
95,celery,23
96,bell_pepper,23
97,mozzarella_cheese,23
98,butter,24
99,pepper,24
100,wheat,24
101,onion,24
102,potato,24
103,asparagus,24
104,chicken_broth,24
105,tomato,27
106,green_bell_pepper,27
107,onion,27
108,cayenne,27
109,scallion,27
110,lettuce,27
111,cucumber,27
112,butter,30
113,cane_molasses,30
114,wheat,30
115,peanut,30
116,vanilla,30
117,cocoa,30
118,egg,30
119,nut,33
